Article_ID,Error
104701,"The MW API does not have any info related to the rev-id provided as input (104701), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
104712,"The MW API does not have any info related to the rev-id provided as input (104712), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
105182,"The MW API does not have any info related to the rev-id provided as input (105182), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
100802,"The MW API does not have any info related to the rev-id provided as input (100802), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
104882,"The MW API does not have any info related to the rev-id provided as input (104882), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
104611,"The MW API does not have any info related to the rev-id provided as input (104611), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
104635,"The MW API does not have any info related to the rev-id provided as input (104635), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
104627,"The MW API does not have any info related to the rev-id provided as input (104627), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
104575,"The MW API does not have any info related to the rev-id provided as input (104575), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
104926,"The MW API does not have any info related to the rev-id provided as input (104926), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
104917,"The MW API does not have any info related to the rev-id provided as input (104917), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
104639,"The MW API does not have any info related to the rev-id provided as input (104639), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
105081,"The MW API does not have any info related to the rev-id provided as input (105081), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
105082,"The MW API does not have any info related to the rev-id provided as input (105082), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
104680,"The MW API does not have any info related to the rev-id provided as input (104680), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
104813,"The MW API does not have any info related to the rev-id provided as input (104813), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
104892,"The MW API does not have any info related to the rev-id provided as input (104892), therefore it is not possible to extract features properly. One possible cause is the deletion of the page related to the revision id. Please contact the ML-Team if you need more info."
